inst_id,date_key,ncses_inst_id,unitid,federal_government,state_and_local_government,business,nonprofit_organizations,institutional_funds,other_sources,total_rd_expenses,medical_school_expenses,non_medical_rd
166,20170630,U0626001,111966,14461000,0,0,400000,791000,0,15652000,2189000,13463000
1002,20170630,U0047001,100654,23290000,706000,184000,0,5055000,2450000,31685000,0,31685000
1005,20170630,U0049001,100724,2253000,0,0,0,0,0,2253000,0,2253000
1009,20170630,U0323002,100858,55700000,32280000,5110000,1568000,88038000,7644000,190340000,0,190340000
1020,20170630,U1533001,101480,3192000,0,50000,0,138000,0,3380000,0,3380000
1050,20170630,U3203001,102377,10388000,2590000,0,0,3553000,4000,16535000,0,16535000
1051,20170630,U3248002,100751,27692000,9585000,1945000,1084000,22563000,413000,63282000,0,63282000
1052,20170630,U3249001,100663,358916000,5403000,57874000,29280000,109918000,460000,561851000,373929000,187922000
1055,20170630,U3250001,100706,68609000,1358000,1439000,510000,21965000,495000,94376000,0,94376000
1057,20170630,U3414001,102094,16627000,1859000,782000,232000,21000000,931000,41431000,11610000,29821000
1061,20170630,U0061001,102669,665000,36000,525000,22000,0,0,1248000,0,1248000
1081,20170630,U0258001,104151,227621000,31895000,16587000,30549000,209033000,29331000,545016000,0,545016000
1082,20170630,U2321001,105330,26035000,6253000,527000,2053000,11086000,299000,46253000,0,46253000
1083,20170630,U3256001,104179,273567000,19646000,12369000,35621000,187244000,93753000,622200000,216960000,405240000
1086,20170630,U3258001,106412,3747000,1864000,0,41000,2484000,0,8136000,0,8136000
1090,20170630,U0263004,106458,4396000,2550000,281000,0,719000,6000,7952000,0,7952000
1092,20170630,U3268001,106704,1236000,417000,0,77000,1578000,5000,3313000,0,3313000
1101,20170630,U3260001,106245,4756000,396000,45000,294000,1342000,0,6833000,0,6833000
1108,20170630,U3257001,106397,46490000,54800000,11215000,3037000,38753000,3496000,157791000,0,157791000
1109,20170630,U3262001,106263,51298000,8719000,2228000,4201000,49217000,12845000,128508000,128508000,0
1117,20170630,U0342001,109785,334000,0,1000,0,8047000,48000,8430000,0,8430000
1122,20170630,U0422001,110097,576000,16000,69000,85000,262000,26000,1034000,0,1034000
1131,20170630,U0508001,110404,277358000,1683000,12523000,36154000,39615000,32979000,400312000,0,400312000
1137,20170630,U0516007,110565,4237000,313000,101000,399000,460000,0,5510000,0,5510000
1139,20170630,U0516008,110583,13085000,772000,587000,882000,2895000,584000,18805000,0,18805000
1140,20170630,U0516009,110592,6612000,558000,0,807000,297000,0,8274000,0,8274000
1141,20170630,U0516004,110547,1238000,19000,0,5000,584000,12000,1858000,0,1858000
1142,20170630,U0516013,110510,6565000,3063000,21000,268000,3007000,0,12924000,0,12924000
1143,20170630,U0513001,110422,10535000,2397000,883000,2112000,2020000,32000,17979000,0,17979000
1144,20170630,U0515001,110529,3231000,1269000,456000,50000,857000,0,5863000,0,5863000
1146,20170630,U0516003,110538,581000,628000,108000,78000,154000,51000,1600000,0,1600000
1147,20170630,U0516006,110556,3511000,1869000,210000,134000,2128000,250000,8102000,0,8102000
1149,20170630,U1392001,115755,3796000,4323000,199000,1071000,4038000,2542000,15969000,0,15969000
1150,20170630,U0516012,110617,6894000,7515000,580000,1906000,4099000,112000,21106000,0,21106000
1151,20170630,U2738001,122409,39417000,2043000,429000,2058000,43710000,1530000,89187000,0,89187000
1153,20170630,U0516011,110608,14756000,1071000,54000,252000,1801000,45000,17979000,0,17979000
1154,20170630,U2740001,122597,14817000,1378000,0,1058000,12676000,11000,29940000,0,29940000
1155,20170630,U2744001,122755,31396000,4092000,739000,839000,1961000,165000,39192000,0,39192000
1157,20170630,U0516015,110495,478000,228000,532000,24000,74000,29000,1365000,0,1365000
1164,20170630,U0625001,111948,3598000,503000,177000,1229000,4733000,386000,10626000,0,10626000
1169,20170630,U4728003,112251,8574000,210000,82000,759000,1420000,1000,11046000,0,11046000
1170,20170630,U4728002,112260,754000,26000,0,476000,4562000,0,5818000,0,5818000
1171,20170630,U4728004,115409,1521000,0,28000,254000,1782000,163000,3748000,0,3748000
1173,20170630,U4728006,121345,1038000,9000,0,654000,1504000,0,3205000,0,3205000
1200,20170630,U1163001,114840,0,0,0,1679000,9000,1000,1689000,0,1689000
1218,20170630,U1708001,117636,15192000,659000,1622000,1332000,2953000,88000,21846000,15881000,5965000
1238,20170630,U1930001,118888,1286000,22000,0,1983000,62000,0,3353000,0,3353000
1249,20170630,U2372001,120254,701000,27000,191000,845000,0,0,1764000,0,1764000
1264,20170630,U2499001,121150,1087000,108000,16000,316000,869000,0,2396000,0,2396000
1305,20170630,B4493001,243744,710698000,30356000,114788000,142609000,106501000,4756000,1109708000,677483000,432225000
1310,20170630,U2196001,119678,47082000,0,284000,0,12864000,156000,60386000,0,60386000
1311,20170630,S3267001,124557,288000,16333000,0,16000,29580000,182000,46399000,0,46399000
1312,20170630,U3266001,110635,330339000,49871000,66123000,106893000,168113000,49483000,770822000,0,770822000
1313,20170630,U3266004,110644,342407000,64438000,45309000,38689000,197136000,50368000,738347000,178972000,559375000
1314,20170630,U3266008,110653,187535000,19025000,21385000,28911000,71473000,33085000,361414000,109974000,251440000
1315,20170630,U3266011,110662,487846000,47097000,62427000,162215000,246402000,70930000,1076917000,611306000,465611000
1316,20170630,U3266015,110671,76795000,7311000,6803000,7678000,49319000,15726000,163632000,6869000,156763000
1317,20170630,U3266016,110680,641469000,34590000,80802000,83986000,186507000,106100000,1133454000,515645000,617809000
1319,20170630,U3266019,110699,606768000,32952000,96903000,221430000,333955000,117390000,1409398000,1066919000,342479000
1320,20170630,U3266020,110705,117457000,5521000,23153000,21779000,47019000,23317000,238246000,0,238246000
1321,20170630,U3266021,110714,66563000,3745000,4831000,10947000,29561000,8697000,124344000,0,124344000
1323,20170630,U3266014,445188,14923000,872000,655000,2296000,14742000,1605000,35093000,0,35093000
1325,20170630,U3410001,122612,405000,93000,0,134000,1970000,0,2602000,0,2602000
1326,20170630,U2754001,122931,1468000,62000,122000,492000,0,1000,2145000,0,2145000
1328,20170630,U3422001,123961,450204000,14871000,56863000,45652000,134407000,62325000,764322000,414407000,349915000
1329,20170630,U3478001,120883,1474000,318000,45000,278000,0,40000,2155000,0,2155000
1347,20170630,U0773001,126678,745000,160000,0,446000,864000,0,2215000,0,2215000
1348,20170630,U0776001,126775,37505000,2618000,12504000,1103000,3505000,2242000,59477000,0,59477000
1349,20170630,U3377001,127741,2349000,68000,60000,55000,2006000,0,4538000,0,4538000
1350,20170630,U0777004,126818,239165000,17058000,8710000,17203000,49317000,6951000,338404000,0,338404000
1369,20170630,U3219001,128328,40062000,23000,526000,280000,6030000,1366000,48287000,0,48287000
1370,20170630,U3276001,126614,374209000,3906000,9908000,73229000,35865000,2272000,499389000,0,499389000
1371,20170630,U3285001,127060,11648000,204000,1831000,2424000,5990000,192000,22289000,0,22289000
1378,20170630,U0597001,128771,231000,370000,1000,13000,380000,0,995000,0,995000
1379,20170630,U0824001,128902,777000,0,0,105000,993000,0,1875000,0,1875000
1385,20170630,U1064001,129242,1101000,32000,0,338000,7278000,0,8749000,0,8749000
1397,20170630,U3363001,129941,548000,268000,0,4189000,0,0,5005000,0,5005000
1402,20170630,U2594001,130226,513000,53000,44000,134000,274000,18000,1036000,880000,156000
