Institution,Country,Year,Best Rank,Worst Rank,Highest Score,Lowest Score,Teaching,Research,Citations,Industry Income,International Outlook,FTE Enrollment,Students per Staff,International Enrollment,Pct Women,Score,Rank
University of Oxford,United Kingdom,2019,1,1,96.0,96.0,91.8,99.5,99.1,67.0,96.3,20298,11.0,0.4,0.46,96.0175,1.0
University of Cambridge,United Kingdom,2019,2,2,94.8,94.8,92.1,98.8,97.1,52.9,94.3,18749,10.9,0.37,0.46,94.795,2.0
Stanford University,United States,2019,3,3,94.7,94.7,93.6,96.8,99.9,64.6,79.3,15878,7.4,0.23,0.43,94.6525,3.0
Massachusetts Institute of Technology,United States,2019,4,4,94.2,94.2,91.9,92.7,99.9,87.6,89.0,11231,8.7,0.34,0.38,94.21499999999999,4.0
California Institute of Technology,United States,2019,5,5,94.1,94.1,94.5,97.2,99.2,88.2,62.3,2255,6.5,0.29,0.33,94.1475,5.0
Harvard University,United States,2019,6,6,93.6,93.6,90.1,98.4,99.6,48.7,79.7,20595,9.1,0.26,0.48,93.625,6.0
Princeton University,United States,2019,7,7,92.3,92.3,89.9,93.6,99.4,57.3,80.1,7996,8.2,0.24,0.45,92.31,7.0
Yale University,United States,2019,8,8,91.3,91.3,91.6,93.5,97.8,51.5,68.3,12318,5.2,0.2,0.5,91.28,8.0
Imperial College London,United Kingdom,2019,9,9,90.3,90.3,85.8,87.7,97.8,67.3,97.1,16425,11.7,0.56,0.38,90.35499999999999,9.0
University of Chicago,United States,2019,10,10,90.2,90.2,90.2,90.1,99.0,41.4,70.9,13562,6.1,0.25,0.44,90.14249999999998,10.0
ETH Zurich,Switzerland,2019,11,11,89.3,89.3,83.3,91.4,93.8,56.1,98.2,18171,12.3,0.39,0.31,89.3175,11.0
Johns Hopkins University,United States,2019,12,12,89.0,89.0,81.9,90.5,98.5,95.5,71.9,16146,4.6,0.25,0.52,89.05,12.0
University of Pennsylvania,United States,2019,12,12,89.0,89.0,87.4,89.2,98.4,70.3,63.6,20443,6.4,0.2,0.52,89.02749999999999,13.0
UCL,United Kingdom,2019,14,14,87.8,87.8,79.1,90.1,95.9,42.4,95.8,31696,10.6,0.51,0.57,87.77499999999999,14.0
"University of California, Berkeley",United States,2019,15,15,87.7,87.7,78.7,92.3,99.7,49.3,69.8,36468,13.2,0.17,0.51,87.6775,15.0
Columbia University,United States,2019,16,16,87.2,87.2,85.4,83.1,98.8,44.8,79.0,26586,6.0,0.37,,87.235,16.0
"University of California, Los Angeles",United States,2019,17,17,86.4,86.4,82.6,87.9,97.8,49.4,62.1,39464,9.2,0.17,0.53,86.3825,17.0
Duke University,United States,2019,18,18,85.4,85.4,84.1,78.8,98.2,100.0,61.0,15037,4.4,0.18,0.48,85.40499999999999,18.0
Cornell University,United States,2019,19,19,85.1,85.1,79.7,85.4,97.4,36.9,71.8,21904,9.8,0.25,0.49,85.0575,19.0
University of Michigan,United States,2019,20,20,84.1,84.1,80.0,85.9,96.0,45.9,58.0,41831,8.3,0.17,0.48,84.06749999999998,20.0
University of Toronto,Canada,2019,21,21,84.0,84.0,75.8,86.3,92.8,50.3,82.8,72202,19.0,0.19,,83.93749999999999,21.0
Tsinghua University,China,2019,22,22,82.9,82.9,87.7,94.1,74.8,99.8,45.8,36912,11.9,0.11,0.34,82.91,22.0
National University of Singapore,Singapore,2019,23,23,82.4,82.4,77.3,88.8,78.9,67.6,95.5,30727,17.4,0.28,0.5,82.35249999999999,23.0
Carnegie Mellon University,United States,2019,24,24,82.0,82.0,69.0,81.2,99.3,48.1,79.4,13033,13.3,0.47,0.4,82.0075,24.0
Northwestern University,United States,2019,25,25,81.7,81.7,69.0,83.6,97.8,75.8,63.0,17600,13.0,0.19,0.48,81.74,25.0
London School of Economics and Political Science,United Kingdom,2019,26,26,81.3,81.3,71.0,83.1,91.0,34.8,92.5,10028,11.8,0.7,0.52,81.3375,26.0
New York University,United States,2019,27,27,81.0,81.0,77.7,76.1,96.6,38.9,65.0,44433,8.9,0.32,0.56,80.9675,27.0
University of Washington,United States,2019,28,28,80.4,80.4,70.7,79.7,98.9,47.6,59.3,45476,11.3,0.16,0.53,80.42750000000001,28.0
University of Edinburgh,United Kingdom,2019,29,29,79.8,79.8,69.2,73.7,96.8,38.2,93.3,28153,12.7,0.41,0.6,79.8625,29.0
"University of California, San Diego",United States,2019,30,30,79.7,79.7,65.4,79.2,98.2,96.0,59.9,31687,12.9,0.2,0.46,79.73250000000002,30.0
Peking University,China,2019,31,31,79.3,79.3,88.8,80.4,76.7,48.3,57.5,42547,8.9,0.17,0.48,79.28999999999999,31.0
LMU Munich,Germany,2019,32,32,78.3,78.3,69.9,76.1,90.2,100.0,65.6,35389,36.0,0.16,0.61,78.28,33.0
University of Melbourne,Australia,2019,32,32,78.3,78.3,68.0,73.4,90.3,74.0,93.1,45030,26.6,0.42,0.56,78.3425,32.0
